dfs_newsanalyticsid,createdon,dfs_title,dfs_description,dfs_sourceurl,dfs_primaryeventlocation,dfs_firsteventcountry,dfs_secondeventcountry,dfs_eventsignificance,dfs_eventcode,dfs_eventdate,dfs_rating,crd69_cyberprocessed,crd69_disasterprocessed
B643C017-B120-F011-998A-7C1E520A55FA,2025-04-24 02:09:03.0000000,Outrage as cricket legend pleads guilty to strangling woman but walks free from jail,The former Australia cricketer has walked free from court after being handed a part-suspended four-year prison sentence for a series of domestic violence charges,https://www.dailystar.co.uk/news/world-news/outrage-cricket-legend-pleads-guilty-35107901,Outrage as cricket legend pleads guilty to strangling woman but walks free from jail,Not specified,Not specified,National,Celebrity and Entertainment News,2025-04-24 01:51:20.0000000,10.80000000000000000,0,0
C24A495E-D120-F011-998A-7C1E520A55FA,2025-04-24 06:00:15.0000000,"""Disappointingly quiet"": Criticism over delay in major parties' domestic and family ...","The Coalition have announced a $90 million investment in family and domestic violence, following Labor's $8.6 million commitment announced earlier this week. This comes amid bipartisan support for Labor's $4 billion National Plan to End Violence Against Women and Children released in 2022.",https://www.sbs.com.au/news/podcast-episode/disappointingly-quiet-criticism-over-delay-in-major-parties-domestic-and-family-violence-commitments/iyvn7ip3n,Australia,Australia,N/A,Nation,Domestic and Family Violence Commitments,2025-04-24 05:07:00.0000000,NULL,0,0
54D7CAC8-5A21-F011-9989-7C1E527DC3AB,2025-04-24 22:23:54.0000000,Bipartisan group of lawmakers pushes DOJ to restore grant opportunities to combat domestic violence,WASHINGTON — A bipartisan duo in the House is leading a letter to Attorney General Pam Bondi expressing “deep concern” that the Trump administration has put at risk funding grants for programs that help survivors of domestic violence and sexual assault.,https://www.nbcnews.com/politics/congress/bipartisan-group-lawmakers-pushes-doj-restore-grant-opportunities-comb-rcna202687,Washington,United States,Not applicable,State,Civil Rights News,2025-04-24 10:00:00.0000000,128.80000000000000000,0,0
C20C8D6B-CB25-F011-8C4E-7C1E52469F7D,2025-04-30 14:00:13.0000000,'It kept me trapped': How struggles to find child care can exacerbate cases of intimate partner violence,"As domestic violence cases climb in Nova Scotia, people who work in the sector say they often hear from women who feel trapped in abusive relationships because they can't find child care, and",https://www.msn.com/en-ca/family-and-relationships/parenting/it-kept-me-trapped-how-struggles-to-find-child-care-can-exacerbate-cases-of-intimate-partner-violence/ar-AA1DU9g0,Nova Scotia,Canada,Not applicable,Local,Citizen Hardship Event,2025-04-30 09:20:00.0000000,129.60000000000000000,0,0
C90F9A31-B426-F011-8C4E-7C1E520A55FA,2025-05-01 17:46:30.0000000,US health agency’s ‘review’ advocates for therapy for youth gender dysphoria,"<p>In ‘comprehensive’ 409-page report, department claims medical care should be avoided though harms are ‘sparse’</p><p>The federal health department released what it described as a “comprehensive review” of pediatric gender dysphoria – advocating for therapy instead of medical care for youth whose gender identity does not match their assigned sex.</p><p>The 409-page report claimed that while the harms of such medical treatment are “sparse”, medical treatment should be avoided in favor of therapy for youth diagnosed with gender dysphoria.</p> <a href=""https://www.theguardian.com/us-news/2025/may/01/gender-dysphoria-report-review-nih"">Continue reading...</a>",https://www.theguardian.com/us-news/2025/may/01/gender-dysphoria-report-review-nih,Federal health department,United States,Not applicable,National,Health Industry News,2025-05-01 17:22:27.0000000,331.20000000000000000,0,0
E1BCE1BC-BA26-F011-8C4E-7C1E520A55FA,2025-05-01 18:33:13.0000000,White House uses newly revealed allegations to support refusal to return Kilmar Ábrego García to US,"<p>Wife of man unlawfully sent to El Salvador filed protection petition in 2020 after domestic violence allegations</p><p>The legal team behind <a href=""https://www.theguardian.com/us-news/2025/apr/16/who-is-kilmar-abrego-garcia"">Kilmar Ábrego García</a>, the Maryland man unlawfully deported to <a href=""https://www.theguardian.com/world/el-salvador"">El Salvador</a>, is demanding that the <a href=""https://www.theguardian.com/us-news/trump-administration"">Trump administration</a> “bring him back and give him a full and fair trial” as the administration releases new domestic abuse allegations.</p><p>In a <a href=""https://www.dhs.gov/news/2025/04/30/dhs-reveals-second-domestic-abuse-filing-filed-kilmar-abrego-garcias-wife"">press release</a> issued on Wednesday, the Department of Homeland Security (DHS) cited allegations made by Ábrego García’s wife, Jennifer Vasquez Sura, that he abused her on several occasions in 2019 and 2020.</p> <a href=""https://www.theguardian.com/us-news/2025/may/01",https://www.theguardian.com/us-news/2025/may/01/kilmar-abrego-garcia-allegations-el-salvador,El Salvador,United States,El Salvador,International,Immigration and Refugees,2025-05-01 18:10:56.0000000,224.10000000000000000,0,0
6EC5025D-802A-F011-8C4D-7C1E527DC3AB,2025-05-06 13:45:34.0000000,"Potential jurors for Sean ""Diddy"" Combs trial questioned about other celebrities","More than two dozen potential jurors for Sean ""Diddy"" Combs' federal trial were questioned on Monday. They were asked about their experience with domestic violence, sexual assault and their views on hip-hop artists. Prospective jurors also reviewed a list of other celebrities, but it was unclear how they are related to the case.",https://www.cbsnews.com/video/potential-jurors-for-sean-diddy-combs-trial-questioned-about-other-celebrities/,"Sean ""Diddy"" Combs trial",United States,Not applicable,Local,Celebrity and Entertainment News,2025-05-06 13:22:00.0000000,29.44000000000000000,0,0
B82D51CF-772D-F011-8C4D-7C1E527DC3AB,2025-05-10 08:21:53.0000000,‘Buddhism and Björk help me handle fame’: novelist Ocean Vuong,"<p>On Earth We’re Briefly Gorgeous made him a literary superstar. Now the Vietnamese American author is exploring his working-class roots in an ambitious follow‑up</p><p>There are three kinds of family, muses the novelist and poet <a href=""https://www.theguardian.com/books/ocean-vuong"">Ocean Vuong</a>. There’s the nuclear family, “which often we talk about as the central tenet of American life”. There’s the chosen family, “the pushback”, the community and friendships built by people who have been rejected by their parents, often because of their sexuality or gender identity. And then there’s the family we talk about much less frequently, but spend most of our waking hours within – our colleagues, or what Vuong describes as “the circumstantial family around&nbsp;labour”.</p><p>Vuong’s forthcoming second novel, The Emperor of Gladness, encompasses them all. There’s its 19-year‑old hero Hai’s relationship with his mother, a poor Vietnamese immigrant who believes that he has fulfilled her",https://www.theguardian.com/books/2025/may/10/buddhism-and-bjork-help-me-handle-fame-novelist-ocean-vuong,Vietnam,United States,Lithuania,Global,Books and Literature,2025-05-10 08:00:49.0000000,NULL,0,0
0CC46663-842D-F011-8C4E-7C1E520A55FA,2025-05-10 09:51:55.0000000,"Patricia Clarkson: ‘When women make equal pay, everybody wins’","<p>The Oscar-nominated actor talks about her new role playing equal pay advocate Lilly Ledbetter and why the Trump administration should be careful</p><p><a href=""https://www.theguardian.com/film/patricia-clarkson"">Patricia Clarkson</a>, who portrays late equal pay activist Lilly Ledbetter in a biopic released this week, has a wish.</p><p>The Oscar-nominated actor hopes her fellow American women collectively withhold sex from their partners – especially men in power – if the second Trump administration’s assault on diversity, equity and inclusion initiatives ever takes aim at the gains won by the subject of her new film.</p> <a href=""https://www.theguardian.com/film/2025/may/10/patricia-clarkson-interview"">Continue reading...</a>",https://www.theguardian.com/film/2025/may/10/patricia-clarkson-interview,United States,United States,N/A,Nation,Civil Rights News,2025-05-10 09:41:50.0000000,231.84000000000000000,0,0
5D547F1C-A72D-F011-8C4E-7C1E52469F7D,2025-05-10 14:00:25.0000000,Texas allows certain children to get married. Lawmakers may close that loophole.,"Lawmakers in 2017 took a major step to end most child marriages. However, emancipated teenagers 16 and older can get married.",https://www.msn.com/en-us/news/us/texas-allows-certain-children-to-get-married-lawmakers-may-close-that-loophole/ar-AA1EvYmP,Texas,United States,N/A,State,Child Marriage Ban Legislation,2025-05-10 10:12:00.0000000,NULL,0,0
274C9C17-A72D-F011-8C4E-7C1E520A55FA,2025-05-10 14:00:20.0000000,Kayla Malec Says She Feels 'Safe' and No Longer 'Scared' After Ex Evan Johnson Was Found ...,"The TikTok influencer announced on May 7, that her ex-boyfriend, Evan Johnson, was found guilty of domestic violence against her",https://au.news.yahoo.com/kayla-malec-says-she-feels-130707114.html,United States,United States,Not applicable,Local,Domestic Violence Event,2025-05-10 13:07:00.0000000,NULL,0,0
9B369498-6E2E-F011-8C4E-7C1E520A55FA,2025-05-11 13:48:23.0000000,"Patricia Clarkson on ""Lilly,"" and the fight of fair pay activist Lilly Ledbetter","Academy Award-nominated actress Patricia Clarkson stars in ""Lilly,"" the story of Lilly Ledbetter, whose 1990s lawsuit demanding equal pay with her male colleagues went all the way to the Supreme Court. Correspondent Faith Salie talks with Clarkson about playing the real-life activist, and how her own mother, Jackie Clarkson, a former Louisiana elected representative, inspired her performance.",https://www.cbsnews.com/video/patricia-clarkson-on-lilly-and-the-fight-of-fair-pay-activist-lilly-ledbetter/,United States,United States,N/A,National,Civil Rights News,2025-05-11 13:38:00.0000000,231.84000000000000000,0,0
EB90C998-6E2E-F011-8C4D-7C1E527DC3AB,2025-05-11 13:48:23.0000000,"""Lilly"": Patricia Clarkson on playing equal pay activist Lilly Ledbetter","The Oscar-nominated actress talks about playing the activist whose 1990s lawsuit demanding equal pay with her male colleagues went all the way to the Supreme Court, and how her own mother inspired her performance.",https://www.cbsnews.com/news/lilly-patricia-clarkson-on-playing-equal-pay-activist-lilly-ledbetter/,United States,United States,N/A,National,Civil Rights News,2025-05-11 13:39:07.0000000,231.84000000000000000,0,0
FB55795F-942E-F011-8C4E-7C1E52469F7D,2025-05-11 18:18:46.0000000,Britain's largest teaching union says trans women MUST be allowed to use ladies' toilets in schools - despite Supreme Court ruling,The Left-wing National Education Union (NEU) resolved on Saturday to campaign for trans teachers to continue to choose toilets according to 'gender identity'.,https://www.dailymail.co.uk/news/article-14700723/Teaching-union-Supreme-Court-gender-trans-toilets.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,Britain,United Kingdom,Not applicable,Nation,Civil Rights News,2025-05-11 18:17:44.0000000,214.20000000000000000,0,0
A95E8A6A-F62E-F011-8C4E-7C1E52469F7D,2025-05-12 06:00:34.0000000,"Prioritise mental health of those affected by domestic abuse, charity urges","Prioritise mental health of those affected by domestic abuse, charity urges - A recent report by Woman’s Trust found one in two women are seeking mental health support over domestic violence.",https://www.msn.com/en-gb/health/other/prioritise-mental-health-of-those-affected-by-domestic-abuse-charity-urges/ar-AA1EzP38,UK,UK,Not applicable,Nation,Civil Rights News,2025-05-11 23:01:00.0000000,163.80000000000000000,0,0
373836EB-102F-F011-8C4D-7C1E527DC3AB,2025-05-12 09:10:17.0000000,Queensland Labor expels MP after LNP raises domestic violence allegations,"<p>Member for Stafford Jimmy Sullivan responds with defiant statement accusing Labor MPs of ‘cheap political move’ against him</p><ul><li>Get our <a href=""https://www.theguardian.com/email-newsletters?CMP=cvau_sfl"">breaking news email</a>, <a href=""https://app.adjust.com/w4u7jx3"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></li></ul><p>Queensland Labor has voted to expel one of its members from caucus in a move labelled “unprecedented” by the state party’s leader, Steven Miles.</p><p>The member for Stafford, Jimmy Sullivan, was subsequently ejected from the Labor party entirely on Monday night, after a meeting of its administrative committee.</p><p><strong><a href=""https://www.theguardian.com/email-newsletters?CMP=copyembed"">Sign up for Guardian Australia’s breaking news email</a></strong></p> <a href=""https://www.theguardian.com/australia-news/2025/may/12/queensland-labor-expels-mp-jimmy-sullivan-stafford-n",https://www.theguardian.com/australia-news/2025/may/12/queensland-labor-expels-mp-jimmy-sullivan-stafford-ntwnfb,"Stafford, Queensland",Australia,N/A,State,Political Scandal,2025-05-12 08:37:20.0000000,237.00000000000000000,0,0
F92FE088-7C2F-F011-8C4E-7C1E520A55FA,2025-05-12 22:00:46.0000000,Toowoomba DV advocates fight for safe housing and regional support services,Toowoomba advocates have called for urgent government support as a rising number of domestic violence victims are being forced to stay with their abusers with no safe escape.,https://www.thechronicle.com.au/news/toowoomba/toowoomba-dv-advocates-fight-for-safe-housing-and-regional-support-services/news-story/7b596ccba7c7b68997bd45b05d780266,"Toowoomba, Australia",Australia,Not applicable,Local,Citizen Hardship Event,2025-05-12 20:00:00.0000000,126.40000000000000000,0,0
7E5C3FDB-A11E-F011-9989-7C1E527DC3AB,2025-04-21 11:15:04.0000000,"Nearly 60,000 American Households Face Eviction Threat As Emergency Housing Vouchers Program Runs Out Of Funds: Report","<p>The Emergency Housing Vouchers program, a crucial support system for numerous Americans, is reportedly nearing a funding crisis. This could potentially result in one of&nbsp;the largest one-time losses of&nbsp;rental assistance in U.S. history.</p>
<p><strong>What Happened</strong>: The program, initiated by former President <strong>Joe Biden</strong> in 2021, is expected to exhaust its funding by the end of 2026, according to a letter from the <strong>U.S. Department of Housing and Urban Development</strong> (HUD) <a href=""https://apnews.com/article/trump-congress-housing-voucher-assistance-funding-cuts-26f9a716af6731e3c6445015488bab3a"">seen</a> by The Associated Press.</p>
<p>The program, which was allocated $5 billion as part of the American Rescue Plan Act, aimed to aid individuals and families affected by homelessness, domestic violence, and human trafficking. It served a broad demographic, from children and seniors to veterans, across cities spanning San Francisco, Santa Clar",https://www.benzinga.com/markets/25/04/44893648/nearly-60000-american-households-face-eviction-threat-as-emergency-housing-vouchers-program-runs-out-of-f,United States,United States,Not applicable,Nation,Citizen Hardship Event,2025-04-21 10:48:46.0000000,331.20000000000000000,0,0
5A00EDD3-691E-F011-998A-7C1E520A55FA,2025-04-21 04:33:54.0000000,"60,000 Americans to lose their rental assistance and risk eviction unless Congress acts","<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/120471698.cms"" />A US federal program, Emergency Housing Vouchers, faces funding shortage. The program aids nearly 60,000 families, including Daniris Espinal, fleeing homelessness and domestic violence. Funds are expected to deplete by next year. This could leave many at risk of eviction. Congress may decide on additional funding. The program's potential end threatens progress made by vulnerable individuals.",https://timesofindia.indiatimes.com/world/us/60000-americans-to-lose-their-rental-assistance-and-risk-eviction-unless-congress-acts/articleshow/120471698.cms,United States,United States,N/A,Nation,Citizen Hardship Event,2025-04-21 04:14:13.0000000,331.20000000000000000,0,0
4E76B8BC-841F-F011-998A-7C1E520A55FA,2025-04-22 14:19:06.0000000,Former Australia cricketer pleads guilty to domestic violence charges,"Michael Slater, a former Test cricketer for Australia, has been sentenced to four years in prison after pleading guilty to domestic violence charges.",https://news.sky.com/story/former-australia-cricketer-michael-slater-pleads-guilty-to-domestic-violence-charges-13353752,Australia,Australia,N/A,Local,Domestic Violence Event,2025-04-22 12:39:00.0000000,NULL,0,0
5A4F2EFB-7E1F-F011-9989-7C1E527DC3AB,2025-04-22 13:37:55.0000000,"Supreme Court to weigh clash over opt-outs for books on gender identity, sexuality","A Maryland school board decided to end parental opt-outs for instruction featuring storybooks that address gender identity and sexual orientation, sparking the dispute that's before the Supreme Court.",https://www.cbsnews.com/news/supreme-court-parental-opt-outs-storybooks-gender-identity-sexuality/,Supreme Court,United States,Not applicable,Nation,Civil Rights News,2025-04-22 13:28:27.0000000,231.84000000000000000,0,0
D2E5CEB6-A41F-F011-998A-7C1E520A55FA,2025-04-22 18:07:59.0000000,Supreme Court likely to rule for parents over opt-outs for LGBTQ-themed books,"A Maryland school board decided to end parental opt-outs for instruction featuring storybooks that address gender identity and sexual orientation, sparking the dispute that's before the Supreme Court.",https://www.cbsnews.com/news/supreme-court-parental-opt-outs-storybooks-gender-identity-sexuality/,Supreme Court,United States,N/A,Nation,Civil Rights News,2025-04-22 17:57:32.0000000,231.84000000000000000,0,0
5BF375AD-AF1F-F011-9989-7C1E527DC3AB,2025-04-22 19:26:30.0000000,UK ministers face questions over supreme court gender ruling repercussions,"<p>Labour backbenchers demand clarity on practical impact of transgender people’s use of toilets and hospital wards</p><p>Ministers have come under pressure to provide answers on how last week’s <a href=""https://www.theguardian.com/society/2025/apr/16/critics-of-trans-rights-win-uk-supreme-court-case-over-definition-of-woman"">supreme court ruling</a> on gender identity will affect the daily lives of transgender people, amid confusion over issues such as toilet provision and hospital wards.</p><p><a href=""https://www.theguardian.com/world/2025/apr/22/equalities-minister-bridget-phillipson-welcomes-uk-gender-ruling-supreme-court"">Keir Starmer said</a> he welcomed what he called “real clarity” and “a welcome step forward” in his first response to the court decision, which ruled that “woman” in the Equality Act refers only to a biological woman.</p> <a href=""https://www.theguardian.com/world/2025/apr/22/uk-ministers-face-questions-over-supreme-court-gender-ruling-repercussions"">Continue r",https://www.theguardian.com/world/2025/apr/22/uk-ministers-face-questions-over-supreme-court-gender-ruling-repercussions,UK,UK,Not applicable,Nation,Civil Rights News,2025-04-22 19:13:06.0000000,163.80000000000000000,0,0
D3838C4F-4B20-F011-9989-7C1E527DC3AB,2025-04-23 14:00:31.0000000,"Federal election 2025: Coalition vows DV register, Royal Commission for new offences in ...","The Coalition will invest an additional $90 million in domestic violence prevention, focused on early intervention and crisis response measures in a multi-pronged plan.",https://thenightly.com.au/politics/federal-election-2025-coalition-vows-dv-register-royal-commission-for-new-offences-in-90m-pledge-c-18463654,Australia,Australia,N/A,Nation,Domestic Violence Prevention Plan Announcement,2025-04-23 12:30:00.0000000,NULL,0,0
AB0A996F-F21D-F011-998A-7C1E520A55FA,2025-04-20 14:19:15.0000000,Police algorithm said Lina was at 'medium' risk. Then she was killed,Spanish police use an algorithm to assess the risk of repeat domestic violence.  Does it work?,https://www.bbc.com/news/articles/clyw7g4zxwzo#2,Lina's death,Not specified,Not specified,Local,Civilian Murder Event,2025-04-19 22:58:31.0000000,4.80000000000000000,0,0
24DFE419-7F20-F011-998A-7C1E520A55FA,2025-04-23 20:11:22.0000000,"Anti-trans posts pass muster under Meta’s new hate-speech rules ","Meta’s quasi-independent Oversight Board ruled early Wednesday that the social media platform is free to leave up two disparaging posts about trans people that include videos showing a trans woman using a woman’s bathroom and a trans girl winning a female sports competition.  In both cases, Meta determined that while posts about the videos questioned a trans person’s gender identity, they didn’t violate its rules against hate speech or harassment. The board’s ruling offers fresh insight into how the company is implementing its new free speech ethos in the Trump era. ",https://www.washingtonpost.com/technology/2025/04/23/meta-oversight-board-trans-content-moderation-hate-speech/,Meta,Not applicable,Not applicable,Global,Internet and Social Media,2025-04-23 19:47:14.0000000,84.00000000000000000,0,0
5ABCC91B-031E-F011-998A-7C1E520A55FA,2025-04-20 16:18:42.0000000,Police algorithm said Lina was at 'medium' risk. Then she was killed,Spanish police use an algorithm to assess the risk of repeat domestic violence.  Does it work?,https://www.bbc.com/news/articles/clyw7g4zxwzo#2,Lina's death,Not specified,Not specified,Local,Civilian Murder Event,2025-04-19 22:58:31.0000000,4.80000000000000000,0,0
49E91530-461E-F011-998A-7C1E520A55FA,2025-04-21 00:18:56.0000000,Police algorithm said Lina was at 'medium' risk. Then she was killed,Spanish police use an algorithm to assess the risk of repeat domestic violence.  Does it work?,https://www.bbc.com/news/articles/clyw7g4zxwzo#2,Lina's death,Not specified,Not specified,Local,Civilian Murder Event,2025-04-19 22:58:31.0000000,4.80000000000000000,0,0
AE4E8A9C-571E-F011-998A-7C1E520A55FA,2025-04-21 02:23:32.0000000,Police algorithm said Lina was at 'medium' risk. Then she was killed,Spanish police use an algorithm to assess the risk of repeat domestic violence.  Does it work?,https://www.bbc.com/news/articles/clyw7g4zxwzo#2,Lina's death,Not specified,Not specified,Local,Civilian Murder Event,2025-04-19 22:58:31.0000000,4.80000000000000000,0,0
